Date,Open,High,Low,Close,Adj Close,Volume
14/2/25,44.88,44.96,44.8,44.84,44.84,4145900
13/2/25,45,45.1,44.88,45.06,45.06,3909000
12/2/25,45.21,45.22,44.75,44.96,44.96,4969900
11/2/25,45.75,45.85,44.73,44.85,44.85,7147300
10/2/25,45.6,46.5,45.31,45.38,45.38,8528000
7/2/25,44.3,44.8,44.3,44.68,44.68,3763800
6/2/25,44.62,44.71,44.25,44.32,44.32,3715200
5/2/25,44.65,44.69,44.2,44.32,44.32,3023400
4/2/25,44.97,44.97,44.31,44.42,44.42,4164600
3/2/25,44.03,44.65,43.88,44.31,44.31,4544700
31/1/25,44.65,45.08,44.38,44.61,44.61,7691400
28/1/25,43.84,44.18,43.71,43.73,43.73,3952900
27/1/25,43.5,43.64,43.35,43.6,43.6,3570700
24/1/25,43.51,43.72,43.51,43.51,43.51,3147300
23/1/25,43.35,43.93,43.35,43.81,43.81,4009500
22/1/25,43.3,43.56,43.29,43.32,43.32,5008400
21/1/25,43.4,43.65,43.12,43.53,43.53,4499300
20/1/25,43.81,43.84,43.4,43.62,43.62,3490000
17/1/25,43.63,43.87,43.55,43.85,43.85,4301200
16/1/25,44,44.08,43.5,43.78,43.78,3697700
15/1/25,43.65,43.83,43.37,43.5,43.5,6378000
14/1/25,43.81,43.93,43.64,43.9,43.9,3937700
13/1/25,44,44.3,43.8,44.07,44.07,4026150
10/1/25,44.56,44.8,43.95,44.13,44.13,6282900
9/1/25,44.76,45.09,44.75,45,45,3619800
8/1/25,44.95,45.44,44.79,45.44,45.44,6513100
7/1/25,44.14,44.5,44.07,44.5,44.5,3962750
6/1/25,43.86,44.1,43.66,43.95,43.95,3080200
3/1/25,44.06,44.19,43.52,43.62,43.62,2463500
2/1/25,43.69,44,43.66,43.96,43.96,1570400
31/12/24,43.78,43.95,43.62,43.72,43.72,1252800
30/12/24,43.55,43.85,43.48,43.85,43.85,2347200
27/12/24,43.8,43.83,43.46,43.55,43.55,1364000
26/12/24,43.6,43.64,43.4,43.54,43.54,645100
24/12/24,43.4,43.63,43.22,43.6,43.6,760400
23/12/24,42.95,43.52,42.72,43.36,43.36,2103500
20/12/24,43.24,43.4,42.82,42.82,42.82,4996738
19/12/24,43.18,43.72,43.02,43.4,43.4,3769800
18/12/24,44.2,44.21,43.37,43.37,43.37,4346300
17/12/24,44.21,44.3,44.14,44.21,44.21,4413300
16/12/24,43.74,44.33,43.74,44.31,44.31,4691800
13/12/24,43.78,43.98,43.69,43.74,43.74,2939100
12/12/24,43.41,43.82,43.24,43.8,43.8,3913700
11/12/24,43.72,43.89,43.65,43.68,43.68,4103600
10/12/24,43.68,44.18,43.67,44,44,2893400
9/12/24,43.46,43.85,43.46,43.65,43.65,2348100
6/12/24,43.99,44.24,43.6,43.68,43.68,4139700
5/12/24,44.25,44.95,44.15,44.26,44.26,6012400
4/12/24,43.75,44.07,43.59,43.82,43.82,3437500
3/12/24,42.84,43.73,42.77,43.51,43.51,6722800
2/12/24,42.73,42.83,42.41,42.55,42.55,2816100
29/11/24,41.92,42.43,41.92,42.43,42.43,3037800
28/11/24,42.15,42.25,41.83,42.25,42.25,6712800
27/11/24,42.01,42.18,41.77,41.85,41.85,3678400
26/11/24,42.22,42.28,41.71,41.71,41.71,5777629
25/11/24,42.58,42.69,42.23,42.25,42.25,8759622
22/11/24,42.7,42.7,42.27,42.33,42.33,2753341
21/11/24,42.42,42.74,42.4,42.56,42.56,4163200
20/11/24,42.78,42.78,42.21,42.21,42.21,3032800
19/11/24,42.42,42.68,42.42,42.57,42.57,4804800
18/11/24,42.45,42.86,42.31,42.4,42.4,4050700
15/11/24,42.8,42.95,42.58,42.94,42.94,4153200
14/11/24,42.48,43.02,42.11,43.02,43.02,7207700
13/11/24,41.7,42.83,41.7,42.78,42.24,5363800
12/11/24,42.46,42.53,42.1,42.34,41.81,6333500
11/11/24,42.7,42.98,41.8,42.75,42.21,6069400
8/11/24,41.98,42.4,41.73,42.4,41.86,8133300
7/11/24,40.01,41.9,39.91,41.7,41.17,16677978
6/11/24,38.82,39.19,38.81,39.15,38.66,4540500
5/11/24,38.76,39.15,38.71,39.09,38.6,3177800
4/11/24,39.2,39.25,38.98,39.06,38.57,3785900
